t,vx,vy,vw,encoder1,encoder2,encoder3,encoder4,gyroX,gyroY,gyroZ,accX,accY,accZ
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.01,0,0,0,0.006913617,-0.001399219,0.000596141,0.002777446,-0.004320359,0.45680047,-0.402080356,0.007732086,0.034351861,9.845645577
0.01,0,0,0,0.011799584,-0.002773275,0.002899878,0.008807729,-0.09102456,0.273563796,-0.289330331,0.034811459,0.0315973,9.828123357
0.01,0,0,0,0.018343897,-0.002201941,0.002515466,0.012357685,0.18418547,0.262241994,-0.33093996,0.022776455,0.013615496,9.819938513
0.01,0,0,0,0.02141189,-0.002225452,0.000413856,0.016033029,-0.03501306,0.295944891,-0.270291528,0.024307319,0.0316847,9.831893163
0.01,0,0,0,0.02632692,-0.002913989,-0.000316349,0.019498372,-0.073208589,0.310337477,-0.328399425,0.02653738,0.024220143,9.828869752
0.01,0,0,0,0.028866548,-0.003378092,-0.001428721,0.023544275,-0.038806615,0.326081562,-0.348211466,0.04055289,0.029105504,9.848395222
0.01,0,0,0,0.032469338,-0.005300479,-0.001707048,0.027596087,-0.059905865,0.4020953,-0.167562517,0.021610486,0.03682394,9.841657839
0.01,0,0,0,0.038941535,-0.006664372,-0.003048256,0.0330455,0.115995925,0.322863295,-0.250814637,0.029230215,0.040040126,9.839083965
0.01,0,0,0,0.043778141,-0.005276151,-0.002712733,0.037581465,0.115488962,0.215799008,-0.164221276,0.052093492,0.014338084,9.824296365
0.01,0,0,0,0.048020981,-0.007434586,0.000137232,0.043627366,0.181335739,0.279157411,-0.244102812,0.051937574,0.036876122,9.828388958
0.01,0,0,0,0.054169039,-0.008763598,0.001154789,0.048891636,0.140478206,0.249297897,-0.310749177,0.03702624,0.016821667,9.839983597
0.01,0,0,0,0.05838173,-0.007286627,0.002253848,0.053435263,0.049859332,0.253408421,-0.252924429,0.025562824,0.033208167,9.830257888
0.01,0,0,0,0.064010863,-0.008690243,0.002966104,0.055878157,0.092083393,0.464737781,-0.234161195,0.018349409,0.032209592,9.83866795
0.01,0,0,0,0.067554818,-0.008238418,0.001281679,0.059205118,-0.010219505,0.29102597,-0.346718239,0.032579569,0.044949102,9.829553667
0.01,0,0,0,0.073954014,-0.01086232,-0.000166931,0.062565351,0.05375978,0.21213716,-0.241169351,0.02828166,0.047110996,9.846495423
0.01,0,0,0,0.077375619,-0.014136997,0.001654157,0.066982251,0.002059401,0.225520648,-0.252563143,0.042470573,0.031002952,9.845569521
0.01,0,0,0,0.081072751,-0.016214365,0.001174258,0.070979902,-0.108007028,0.341683848,-0.412418795,0.029722045,0.014066162,9.830565031
0.01,0,0,0,0.08434852,-0.017253331,0.000296716,0.077113302,-0.034135352,0.334547013,-0.312283002,0.020333415,0.030486184,9.836608387
0.01,0,0,0,0.090250933,-0.017212423,0.003483092,0.082957622,0.093499654,0.342726854,-0.413461682,0.029570166,0.025421883,9.847997811
0.01,0,0,0,0.095038782,-0.019357665,0.004032833,0.086793391,0.014981856,0.231806409,-0.328978238,0.042363774,0.030987857,9.844864494
0.01,0,0,0,0.09983686,-0.01993885,0.007353711,0.090707412,0.081334896,0.190061856,-0.29584642,0.023702535,0.024355857,9.832365255
0.01,0,0,0,0.104877875,-0.020725794,0.006675315,0.094347501,0.076754696,0.216984877,-0.245590892,0.019021375,0.022882476,9.8315726
0.01,0,0,0,0.111792059,-0.024735771,0.007429923,0.099268353,0.026785831,0.276286739,-0.417595026,0.026887614,0.023842957,9.835672409
0.01,0,0,0,0.118227229,-0.024336303,0.006449059,0.101188539,0.025278204,0.346325359,-0.251642319,0.038472633,0.022057795,9.838420746
0.01,0,0,0,0.122033299,-0.027385011,0.004390792,0.10601625,0.043951482,0.16237806,-0.287060257,0.021373392,0.022747512,9.831038074
0.01,0,0,0,0.127588652,-0.028373218,0.004113397,0.110125791,0.074937725,0.252249046,-0.327641496,0.037252448,8.97E-05,9.856560338
0.01,0,0,0,0.133101797,-0.029647761,0.001428285,0.116989261,0.155177587,0.317961705,-0.257655691,0.032156578,0.038017402,9.830080716
0.01,0,0,0,0.136460348,-0.029064155,0.002551876,0.122785026,-0.026569915,0.288401168,-0.220692364,0.026981109,0.023005404,9.860040382
0.01,0,0,0,0.141419069,-0.029360018,0.002150494,0.127276285,1.87E-05,0.344564463,-0.332525144,0.020196716,0.044396982,9.835819574
0.01,0,0,0,0.144373013,-0.032357421,0.003279622,0.131026062,-0.00351625,0.27097606,-0.293670148,0.031924969,0.038593113,9.825732957
0.01,0,0,0,0.149135879,-0.03387106,0.003351191,0.134849015,-0.014732863,0.216902779,-0.322135217,0.026065941,0.019685745,9.839746378
0.01,0,0,0,0.153737051,-0.031823645,0.002522457,0.14014276,-0.035240452,0.11177559,-0.257832393,0.040733868,0.015926226,9.844733745
0.01,0,0,0,0.15610071,-0.032304335,0.001722688,0.146439312,-0.037354225,0.267053063,-0.319899644,0.043947079,0.023281817,9.830122839
0.01,0,0,0,0.160412045,-0.033196948,0.002690464,0.150902008,-0.00063025,0.252257095,-0.336758011,0.025620545,0.01343776,9.850646533
0.01,0,0,0,0.162653653,-0.034978109,0.002176792,0.15574369,0.071428742,0.296819899,-0.289009787,0.040246556,0.027853384,9.846319699
0.01,0,0,0,0.167208644,-0.036642896,0.001959811,0.158137654,0.030169092,0.301382296,-0.265706185,0.036066402,0.017884439,9.845417527
0.01,0,0,0,0.172931191,-0.039953767,0.001827992,0.163343085,-0.023944286,0.300621785,-0.416244816,0.016280926,0.03168848,9.814445573
0.01,0,0,0,0.176373381,-0.043126334,0.004293227,0.167546184,-0.065522,0.277489031,-0.353579214,0.038934887,0.025588924,9.833466897
0.01,0,0,0,0.182396381,-0.042640789,0.006504284,0.172712937,0.07257169,0.174119955,-0.275391034,0.027275445,0.016656705,9.844667847
0.01,0,0,0,0.188358614,-0.043670291,0.006403055,0.175555409,0.031288526,0.41920813,-0.252359682,0.018796638,0.035818655,9.83391007
0.01,0,0,0,0.193699675,-0.044583402,0.008688893,0.181936015,0.056291727,0.28881016,-0.293698033,0.042557036,0.033637921,9.816055184
